200 0 2 0 15 0 0.03 0.04
199 0 2.08 0.5 14.95 0.5 0.03 0.0401
198 0 2.16 1 14.9 1 0.03 0.0402
197 0 2.24 1.5 14.85 1.5 0.03 0.0403
196 0 2.32 2 14.8 2 0.03 0.0404
195 0 2.4 2.5 14.75 2.5 0.03 0.0405
194 0 2.48 3 14.7 3 0.03 0.0406
193 0 2.56 3.5 14.65 3.5 0.03 0.0407
192 0 2.64 4 14.6 4 0.03 0.0408
191 0 2.72 4.5 14.55 4.5 0.03 0.0409
190 0 2.8 5 14.5 5 0.03 0.041
189 0 2.88 5.5 14.45 5.5 0.03 0.0411
188 0 2.96 6 14.4 6 0.03 0.0412
187 0 3.04 6.5 14.35 6.5 0.03 0.0413
186 0 3.12 7 14.3 7 0.03 0.0414
185 0 3.2 7.5 14.25 7.5 0.03 0.0415
184 0 3.28 8 14.2 8 0.03 0.0416
183 0 3.36 8.5 14.15 8.5 0.03 0.0417
182 0 3.44 9 14.1 9 0.03 0.0418
181 0 3.52 9.5 14.05 9.5 0.03 0.0419
180 0 3.6 10 14 10 0.03 0.042
179 0 3.68 10.5 13.95 10.5 0.03 0.0421
178 0 3.76 11 13.9 11 0.03 0.0422
177 0 3.84 11.5 13.85 11.5 0.03 0.0423
176 0 3.92 12 13.8 12 0.03 0.0424
175 0 4 12.5 13.75 12.5 0.03 0.0425
174 0 4.08 13 13.7 13 0.03 0.0426
173 0 4.16 13.5 13.65 13.5 0.03 0.0427
172 0 4.24 14 13.6 14 0.03 0.0428
171 0 4.32 14.5 13.55 14.5 0.03 0.0429
170 0 4.4 15 13.5 15 0.03 0.043
169 0 4.48 15.5 13.45 15.5 0.03 0.0431
168 0 4.56 16 13.4 16 0.03 0.0432
167 0 4.64 16.5 13.35 16.5 0.03 0.0433
166 0 4.72 17 13.3 17 0.03 0.0434
165 0 4.8 17.5 13.25 17.5 0.03 0.0435
164 0 4.88 18 13.2 18 0.03 0.0436
163 0 4.96 18.5 13.15 18.5 0.03 0.0437
162 0 5.04 19 13.1 19 0.03 0.0438
161 0 5.12 19.5 13.05 19.5 0.03 0.0439
160 0 5.2 20 13 20 0.03 0.044
159 0 5.28 20.5 12.95 20.5 0.03 0.0441
158 0 5.36 21 12.9 21 0.03 0.0442
157 0 5.44 21.5 12.85 21.5 0.03 0.0443
156 0 5.52 22 12.8 22 0.03 0.0444
155 0 5.6 22.5 12.75 22.5 0.03 0.0445
154 0 5.68 23 12.7 23 0.03 0.0446
153 0 5.76 23.5 12.65 23.5 0.03 0.0447
152 0 5.84 24 12.6 24 0.03 0.0448
151 0 5.92 24.5 12.55 24.5 0.03 0.0449
150 0 6 25 12.5 25 0.03 0.045
149 0 6.08 25.5 12.45 25.5 0.03 0.0451
148 0 6.16 26 12.4 26 0.03 0.0452
147 0 6.24 26.5 12.35 26.5 0.03 0.0453
146 0 6.32 27 12.3 27 0.03 0.0454
145 0 6.4 27.5 12.25 27.5 0.03 0.0455
144 0 6.48 28 12.2 28 0.03 0.0456
143 0 6.56 28.5 12.15 28.5 0.03 0.0457
142 0 6.64 29 12.1 29 0.03 0.0458
141 0 6.72 29.5 12.05 29.5 0.03 0.0459
140 0 6.8 30 12 30 0.03 0.046
139 0 6.88 30.5 11.95 30.5 0.03 0.0461
138 0 6.96 31 11.9 31 0.03 0.0462
137 0 7.04 31.5 11.85 31.5 0.03 0.0463
136 0 7.12 32 11.8 32 0.03 0.0464
135 0 7.2 32.5 11.75 32.5 0.03 0.0465
134 0 7.28 33 11.7 33 0.03 0.0466
133 0 7.36 33.5 11.65 33.5 0.03 0.0467
132 0 7.44 34 11.6 34 0.03 0.0468
131 0 7.52 34.5 11.55 34.5 0.03 0.0469
130 0 7.6 35 11.5 35 0.03 0.047
129 0 7.68 35.5 11.45 35.5 0.03 0.0471
128 0 7.76 36 11.4 36 0.03 0.0472
127 0 7.84 36.5 11.35 36.5 0.03 0.0473
126 0 7.92 37 11.3 37 0.03 0.0474
125 0 8 37.5 11.25 37.5 0.03 0.0475
124 0 8.08 38 11.2 38 0.03 0.0476
123 0 8.16 38.5 11.15 38.5 0.03 0.0477
122 0 8.24 39 11.1 39 0.03 0.0478
121 0 8.32 39.5 11.05 39.5 0.03 0.0479
120 0 8.4 40 11 40 0.03 0.048
119 0 8.48 40.5 10.95 40.5 0.03 0.0481
118 0 8.56 41 10.9 41 0.03 0.0482
117 0 8.64 41.5 10.85 41.5 0.03 0.0483
116 0 8.72 42 10.8 42 0.03 0.0484
115 0 8.8 42.5 10.75 42.5 0.03 0.0485
114 0 8.88 43 10.7 43 0.03 0.0486
113 0 8.96 43.5 10.65 43.5 0.03 0.0487
112 0 9.04 44 10.6 44 0.03 0.0488
111 0 9.12 44.5 10.55 44.5 0.03 0.0489
110 0 9.2 45 10.5 45 0.03 0.049
109 0 9.28 45.5 10.45 45.5 0.03 0.0491
108 0 9.36 46 10.4 46 0.03 0.0492
107 0 9.44 46.5 10.35 46.5 0.03 0.0493
106 0 9.52 47 10.3 47 0.03 0.0494
105 0 9.6 47.5 10.25 47.5 0.03 0.0495
104 0 9.68 48 10.2 48 0.03 0.0496
103 0 9.76 48.5 10.15 48.5 0.03 0.0497
102 0 9.84 49 10.1 49 0.03 0.0498
101 0 9.92 49.5 10.05 49.5 0.03 0.0499
